Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,5983-53919,"Florida & Kirby, Hemet",Company Owned,"2350 W. Florida Avenue, 1A",Hemet,CA,US,925454613,951-765-0443,GMT-08:00 America/Los_Angeles,-117,33.75
Starbucks,76364-97139,Target Hemet T-761,Licensed,3527 W. Florida Ave,Hemet,CA,US,925453564,951-652-9585,GMT-08:00 America/Los_Angeles,-117.01,33.75
Starbucks,10893-102951,"Sanderson & Esplanade, San Jacinto",Company Owned,"2281 W. Esplanade Ave., Suite A",San Jacinto,CA,US,925824704,951-487-1106,GMT-08:00 America/Los_Angeles,-117.01,33.77
Starbucks,6438-245084,Yucaipa & 6th,Company Owned,"34050 Yucaipa Blvd., 200",Yucaipa,CA,US,92399,9097977224,GMT-08:00 America/Los_Angeles,-117.06,34.03
Starbucks,79654-108478,Vons - Yucaipa #1796,Licensed,33644 YUCAIPA BLVD,YUCAIPA,CA,US,923992071,,GMT-08:00 America/Los_Angeles,-117.07,34.04
Starbucks,9974-98559,"Yucaipa & Hampton, Yucaipa",Company Owned,"31364 Yucaipa Blvd., A",Yucaipa,CA,US,923991570,909-389-9587,GMT-08:00 America/Los_Angeles,-117.12,34.03
Starbucks,22308-215004,Lugonia & Wabash,Company Owned,1755 E. Lugonia Avenue,Redlands,CA,US,92374,909-794-5104,GMT-08:00 America/Los_Angeles,-117.14,34.07
Starbucks,28266-246805,Ralphs Menifee 140,Licensed,30125 Antelope Road,Menifee,CA,US,92584,9516792117,GMT-08:00 America/Los_Angeles,-117.17,33.68
Starbucks,73620-87553,Albertsons-Redlands #6519,Licensed,"450 W Cypress Ave, Orange Tree Marketplace",Redlands,CA,US,923736115,909-792-1114,GMT-08:00 America/Los_Angeles,-117.17,34.05
Starbucks,23319-226064,Redlands & Clark,Company Owned,625 East Redlands Blvd.,Redlands,CA,US,92373,(909) 809-0666,GMT-08:00 America/Los_Angeles,-117.17,34.05
Starbucks,14488-107911,"Haun & Newport, Menifee",Company Owned,"30010 Haun Road, #260",Menifee,CA,US,925846812,951-301-6847,GMT-08:00 America/Los_Angeles,-117.18,33.68
Starbucks,76971-136441,Super Target Menifee ST-2471,Licensed,30340 Haun Rd,Menifee,CA,US,925846806,951-672-8580,GMT-08:00 America/Los_Angeles,-117.18,33.68
Starbucks,9899-97042,Moreno Beach & Hwy 60,Company Owned,12751 Moreno Beach Drive,Moreno Valley,CA,US,925554411,951-485-6878,GMT-08:00 America/Los_Angeles,-117.18,33.94
Starbucks,74981-103364,Vons - Redlands #1734,Licensed,522 NORTH ORANGE,Redlands,CA,US,923743208,909-793-0447,GMT-08:00 America/Los_Angeles,-117.18,34.06
Starbucks,5693-1231,Orange & Pearl- Redlands,Company Owned,"627 Orange St, Suite D",Redlands,CA,US,923743246,909-748-0691,GMT-08:00 America/Los_Angeles,-117.18,34.06
Starbucks,11099-102097,"I-215 & Ethanac, Perris",Company Owned,"3150 Case Road, Bldg H, Suite 1",Perris,CA,US,925705552,951-943-0726,GMT-08:00 America/Los_Angeles,-117.19,33.74
Starbucks,76767-107985,Super Target Moreno Valley East ST-,Licensed,27100 Eucalyptus,Moreno Valley,CA,US,925554522,951-571-8014,GMT-08:00 America/Los_Angeles,-117.19,33.94
Starbucks,8907-94885,"Lugonia & Alabama, Redlands",Company Owned,"27512 W.  Lugonia Avenue, A",Redlands,CA,US,923742053,909-307-8095,GMT-08:00 America/Los_Angeles,-117.2,34.07
Starbucks,6768-77841,Baseline & Hwy 30,Company Owned,27615 Baseline Street,Highland,CA,US,923466408,909-864-2689,GMT-08:00 America/Los_Angeles,-117.2,34.12
Starbucks,17824-180665,Iris & Lassell,Company Owned,"25960 Iris Avenue, Suite 1C",Moreno Valley,CA,US,925511659,951-924-7202,GMT-08:00 America/Los_Angeles,-117.21,33.89
Starbucks,10004-98481,Alabama & Orange Tree Lane,Company Owned,1265 Alabama Street,Redlands,CA,US,923742813,909-798-1426,GMT-08:00 America/Los_Angeles,-117.21,34.07
Starbucks,76159-93363,Target Redlands T-1869,Licensed,27320 Lugonia Ave,Redlands,CA,US,923742041,909-307-1602,GMT-08:00 America/Los_Angeles,-117.21,34.07
Starbucks,10665-100382,"Ramona Expressway & Perris, Perris",Company Owned,120 E Ramona Expressway,Perris,CA,US,925719712,951-943-6862,GMT-08:00 America/Los_Angeles,-117.22,33.85
Starbucks,6703-75480,"Nuevo & I-215, Perris",Company Owned,"1688 North Perris Blvd., G-4",Perris,CA,US,925714709,951-943-9025,GMT-08:00 America/Los_Angeles,-117.23,33.8
Starbucks,10344-101112,"Hemlock & Perris, Moreno Valley",Company Owned,"12190 Perris Blvd., A",Moreno Valley,CA,US,925577421,951-243-6149,GMT-08:00 America/Los_Angeles,-117.23,33.94
Starbucks,13221-106687,"California & Barton, Loma Linda",Company Owned,"11245 California Street, #A",Loma Linda,CA,US,92354,909-793-1635,GMT-08:00 America/Los_Angeles,-117.23,34.05
Starbucks,22997-226184,Mountain View & Barton,Company Owned,25775 Barton Road,Loma Linda,CA,US,92354,909-796-6325,GMT-08:00 America/Los_Angeles,-117.24,34.05
Starbucks,9346-96040,"Frederick & Hwy 60, Moreno Valley",Company Owned,"12515 Frederick Street, #1A, Lakeside Plaza",Moreno Valley,CA,US,925535265,951-653-0084,GMT-08:00 America/Los_Angeles,-117.26,33.94
Starbucks,11777-105633,Tippecanoe & Hospitality,Company Owned,"1760 S. Tippecanoe Ave., The Palm Travel Center",San Bernardino,CA,US,924084308,909-796-5216,GMT-08:00 America/Los_Angeles,-117.26,34.07
Starbucks,8944-94756,"Day & The 60 Fwy, Moreno Valley",Company Owned,"12430 Day Street, #C1",Moreno Valley,CA,US,925537537,951-653-7372,GMT-08:00 America/Los_Angeles,-117.28,33.94
Starbucks,10346-100564,I-10 & Waterman,Company Owned,126 E.  Redlands Blvd.,San Bernardino,CA,US,924083709,909-514-0747,GMT-08:00 America/Los_Angeles,-117.28,34.06
Starbucks,10433-97237,40th & Waterman,Company Owned,292 E. 40th Street,San Bernardino,CA,US,924041356,909-886-1326,GMT-08:00 America/Los_Angeles,-117.28,34.17
Starbucks,74834-98876,Vons - Lake Elsinore #2373,Licensed,31564 Grape St,Lake Elsinore,CA,US,925329700,951-245-2002,GMT-08:00 America/Los_Angeles,-117.29,33.66
Starbucks,8704-94421,Main & C,Company Owned,"16922 Main Street, Suite J, El Rancho Center",Hesperia,CA,US,923456011,760-949-3236,GMT-08:00 America/Los_Angeles,-117.29,34.42
Starbucks,10489-101005,Hesperia & Bear Valley,Company Owned,17003 Bear Valley Rd,Hesperia,CA,US,923451419,760-948-4300,GMT-08:00 America/Los_Angeles,-117.29,34.47
Starbucks,74873-96290,Vons-Victorville #2131,Licensed,12199 Hesperia Rd,Victorville,CA,US,923954756,760-241-2288,GMT-08:00 America/Los_Angeles,-117.29,34.47
